Date,GLD,GDX
2015-01-02,114.08000183105467,17.15321922302246
2015-01-05,115.8000030517578,17.60604476928711
2015-01-06,117.12000274658205,18.538875579833984
2015-01-07,116.43000030517578,18.194725036621094
2015-01-08,115.94000244140624,17.923025131225586
2015-01-09,117.26000213623048,18.75623321533203
2015-01-12,118.55999755859376,19.462648391723636
2015-01-13,118.16000366210938,18.611331939697266
2015-01-14,117.97000122070312,18.39396858215332
2015-01-15,120.94000244140624,19.453590393066406
2015-01-16,122.5199966430664,20.06944274902344
2015-01-20,124.1999969482422,20.775859832763672
2015-01-21,124.2300033569336,20.413593292236328
2015-01-22,125.2300033569336,20.304912567138672
2015-01-23,124.2300033569336,19.689062118530277
2015-01-26,122.98999786376952,20.06038475036621
2015-01-27,124.4000015258789,20.72151756286621
2015-01-28,123.41999816894533,19.89736557006836
2015-01-29,120.76000213623048,19.55321502685547
2015-01-30,123.4499969482422,20.18717765808105
2015-02-02,122.41999816894533,20.33208274841309
2015-02-03,121.0500030517578,19.806804656982425
2015-02-04,121.58000183105467,20.169063568115234
2015-02-05,121.79000091552734,20.449819564819336
2015-02-06,118.63999938964844,19.3177433013916
2015-02-09,119.16999816894533,19.643783569335938
2015-02-10,118.47000122070312,19.2724609375
2015-02-11,117.06999969482422,18.89208221435547
2015-02-12,117.33999633789062,19.15472412109375
2015-02-13,117.9800033569336,19.25434875488281
2015-02-17,116.01000213623048,18.62944221496582
2015-02-18,116.33999633789062,19.055105209350582
2015-02-19,115.94000244140624,18.60227394104004
2015-02-20,115.27999877929688,18.52076530456543
2015-02-23,115.43000030517578,18.60227394104004
2015-02-24,115.26000213623048,18.493593215942383
2015-02-25,115.6999969482422,18.828685760498047
2015-02-26,116.06999969482422,18.982646942138672
2015-02-27,116.16000366210938,19.2724609375
2015-03-02,115.68000030517578,18.801515579223636
2015-03-03,115.47000122070312,18.45736694335937
2015-03-04,115.11000061035156,18.14944076538086
2015-03-05,115.0,18.185667037963867
2015-03-06,111.86000061035156,16.82717514038086
2015-03-09,111.97000122070312,16.22038459777832
2015-03-10,111.41999816894533,16.003026962280273
2015-03-11,110.75,16.48302459716797
2015-03-12,110.72000122070312,16.36528778076172
2015-03-13,110.87999725341795,16.36528778076172
2015-03-16,110.80999755859376,16.401514053344727
2015-03-17,110.20999908447266,16.238496780395508
2015-03-18,112.37000274658205,17.06264877319336
2015-03-19,112.29000091552734,16.94491195678711
2015-03-20,113.56999969482422,17.506420135498047
2015-03-23,114.29000091552734,17.88680076599121
2015-03-24,114.56999969482422,17.78717613220215
2015-03-25,114.7300033569336,17.533592224121094
2015-03-26,115.4800033569336,17.270946502685547
2015-03-27,115.05999755859376,17.06264877319336
2015-03-30,113.75,16.727554321289062
2015-03-31,113.66000366210938,16.51924705505371
2015-04-01,115.5999984741211,17.397743225097656
2015-04-02,115.27999877929688,17.198495864868164
2015-04-06,116.69000244140624,17.841514587402344
2015-04-07,116.11000061035156,17.379629135131836
2015-04-08,115.47000122070312,17.2890625
2015-04-09,114.66999816894533,17.12604522705078
2015-04-10,115.97000122070312,17.615102767944336
2015-04-13,115.13999938964844,17.44302749633789
2015-04-14,114.44000244140624,17.578872680664062
2015-04-15,115.43000030517578,18.09510040283203
2015-04-16,115.02999877929688,17.877744674682617
2015-04-17,115.5999984741211,17.8596248626709
2015-04-20,114.72000122070312,17.959253311157227
2015-04-21,115.37999725341795,18.08604431152344
2015-04-22,113.83000183105467,17.488309860229492
2015-04-23,114.66000366210938,17.913969039916992
2015-04-24,113.0500030517578,17.533592224121094
2015-04-27,115.33000183105467,17.89585304260254
2015-04-28,116.33000183105467,18.59321594238281
2015-04-29,115.51000213623048,18.765289306640625
2015-04-30,113.47000122070312,18.212841033935547
2015-05-01,113.08000183105467,18.357746124267575
2015-05-04,114.0999984741211,18.484539031982425
2015-05-05,114.41999816894533,18.31245994567871
2015-05-06,114.36000061035156,17.85057258605957
2015-05-07,113.41999816894533,17.959253311157227
2015-05-08,113.97000122070312,18.08604431152344
2015-05-11,113.52999877929688,18.13132667541504
2015-05-12,114.5,18.37585830688477
2015-05-13,116.5500030517578,18.819629669189453
2015-05-14,117.18000030517578,18.855852127075195
2015-05-15,117.52999877929688,18.765289306640625
2015-05-18,117.5199966430664,18.792457580566406
2015-05-19,115.88999938964844,18.11321449279785
2015-05-20,116.08000183105467,18.185667037963867
2015-05-21,115.69000244140624,18.058876037597656
2015-05-22,115.5999984741211,17.959253311157227
2015-05-26,113.91000366210938,17.433971405029297
2015-05-27,113.88999938964844,17.60604476928711
2015-05-28,114.0199966430664,17.750951766967773
2015-05-29,114.0999984741211,17.73284149169922
2015-06-01,114.0,17.651329040527344
2015-06-02,114.45999908447266,17.913969039916992
2015-06-03,113.63999938964844,17.578872680664062
2015-06-04,112.83999633789062,17.270946502685547
2015-06-05,112.23999786376952,17.053590774536133
2015-06-08,112.56999969482422,17.225669860839844
2015-06-09,112.81999969482422,17.008312225341797
2015-06-10,113.77999877929688,17.171327590942383
2015-06-11,113.26000213623048,16.972082138061523
2015-06-12,113.2300033569336,16.800006866455078
2015-06-15,113.7300033569336,16.83623504638672
2015-06-16,113.31999969482422,16.60076332092285
2015-06-17,113.8499984741211,17.080760955810547
2015-06-18,115.31999969482422,17.298120498657227
2015-06-19,115.12000274658205,16.881515502929688
2015-06-22,113.63999938964844,16.60076332092285
2015-06-23,112.88999938964844,16.64604377746582
2015-06-24,112.58999633789062,16.627933502197266
2015-06-25,112.44000244140624,16.455856323242188
2015-06-26,112.55999755859376,16.383399963378906
